Member_number,Date,productId,items,order_id,productName,price,Category,Total_Cost,Month
2185,2015-10-11,10,2,4419,chicken,7.2,Fresh Food,14.4,2015-10
3552,2015-06-16,25,2,9498,canned beer,1.1,Beverages,2.2,2015-06
1967,2015-01-20,2,3,3610,whole milk,1.8,Dairy,5.4,2015-01
4708,2015-03-20,7,3,13899,citrus fruit,1.5,Fresh Food,4.5,2015-03
2874,2015-02-15,50,2,7003,bottled beer,1.8,Beverages,3.6,2015-02
4177,2015-04-13,2,2,11825,whole milk,1.8,Dairy,3.6,2015-04
1663,2015-02-07,66,3,2447,onions,1.3,Fresh Food,3.9000000000000004,2015-02
2632,2015-03-02,19,2,6086,sausage,3.1,Fresh Food,6.2,2015-03
1377,2015-03-14,4,2,1367,other vegetables,0.8,Fresh Food,1.6,2015-03
4162,2015-12-22,50,2,11771,bottled beer,1.8,Beverages,3.6,2015-12
2270,2015-07-01,2,1,4729,whole milk,1.8,Dairy,1.8,2015-07
4829,2015-11-03,18,2,14368,yogurt,2.2,Dairy,4.4,2015-11
3811,2015-04-14,19,1,10484,sausage,3.1,Fresh Food,3.1,2015-04
4766,2015-09-29,53,2,14124,specialty chocolate,18.8,Bakery & Sweets,37.6,2015-09
2436,2015-04-12,108,3,5346,zwieback,12.3,Snacks,36.900000000000006,2015-04
3860,2015-05-05,75,1,10670,frozen vegetables,2.5,Frozen & Processed Food,2.5,2015-05
4875,2015-05-12,9,1,14543,frankfurter,5.5,Fresh Food,5.5,2015-05
1587,2015-07-01,2,2,2144,whole milk,1.8,Dairy,3.6,2015-07
4038,2015-07-08,9,2,11302,frankfurter,5.5,Fresh Food,11.0,2015-07
4750,2015-09-21,23,1,14069,pork,7.2,Fresh Food,7.2,2015-09
1199,2015-12-10,99,3,729,canned vegetables,5.7,Frozen & Processed Food,17.1,2015-12
1603,2015-09-30,10,3,2201,chicken,7.2,Fresh Food,21.6,2015-09
3111,2015-01-31,3,2,7867,pip fruit,3.0,Fresh Food,6.0,2015-01
3894,2015-12-13,19,3,10786,sausage,3.1,Fresh Food,9.3,2015-12
1456,2015-09-18,2,3,1659,whole milk,1.8,Dairy,5.4,2015-09
2022,2015-03-04,23,2,3810,pork,7.2,Fresh Food,14.4,2015-03
2505,2015-11-30,10,3,5588,chicken,7.2,Fresh Food,21.6,2015-11
4851,2015-12-20,27,2,14449,coffee,8.5,Beverages,17.0,2015-12
4293,2015-08-04,19,1,12296,sausage,3.1,Fresh Food,3.1,2015-08
2775,2015-11-06,19,2,6627,sausage,3.1,Fresh Food,6.2,2015-11
3693,2015-02-18,50,1,10038,bottled beer,1.8,Beverages,1.8,2015-02
1202,2015-07-22,31,1,738,curd cheese,9.2,Dairy,9.2,2015-07
3699,2015-08-23,9,3,10061,frankfurter,5.5,Fresh Food,16.5,2015-08
4152,2015-04-15,19,3,11729,sausage,3.1,Fresh Food,9.3,2015-04
4155,2015-01-26,38,3,11747,soda,0.8,Beverages,2.4000000000000004,2015-01
4010,2015-12-29,5,2,11205,rolls/buns,1.2,Bakery & Sweets,2.4,2015-12
4389,2015-10-20,1,3,12683,tropical fruit,7.8,Fresh Food,23.4,2015-10
3746,2015-08-17,11,1,10231,butter,3.2,Dairy,3.2,2015-08
2560,2015-05-17,9,3,5811,frankfurter,5.5,Fresh Food,16.5,2015-05
1503,2015-07-25,48,3,1849,finished products,6.5,Frozen & Processed Food,19.5,2015-07
2555,2015-12-23,107,2,5797,liver loaf,8.5,Fresh Food,17.0,2015-12
3645,2015-12-12,9,2,9848,frankfurter,5.5,Fresh Food,11.0,2015-12
3886,2015-09-11,16,1,10760,butter milk,6.1,Dairy,6.1,2015-09
2932,2015-03-20,2,2,7197,whole milk,1.8,Dairy,3.6,2015-03
1711,2015-06-18,2,3,2598,whole milk,1.8,Dairy,5.4,2015-06
4291,2015-12-08,22,2,12283,root vegetables,1.8,Fresh Food,3.6,2015-12
1143,2015-04-25,2,1,524,whole milk,1.8,Dairy,1.8,2015-04
4564,2015-07-08,19,3,13328,sausage,3.1,Fresh Food,9.3,2015-07
3337,2015-05-14,115,1,8699,waffles,2.5,Bakery & Sweets,2.5,2015-05
4931,2015-05-04,7,2,14716,citrus fruit,1.5,Fresh Food,3.0,2015-05
2623,2015-10-10,2,2,6052,whole milk,1.8,Dairy,3.6,2015-10
4581,2015-04-03,23,1,13392,pork,7.2,Fresh Food,7.2,2015-04
2635,2015-06-11,26,3,6098,berries,10.8,Fresh Food,32.400000000000006,2015-06
1095,2015-10-30,17,2,340,bottled water,0.5,Beverages,1.0,2015-10
2990,2015-05-23,14,2,7414,chocolate,11.5,Bakery & Sweets,23.0,2015-05
2426,2015-06-05,12,3,5301,fruit/vegetable juice,2.1,Beverages,6.300000000000001,2015-06
4555,2015-11-07,2,2,13295,whole milk,1.8,Dairy,3.6,2015-11
3635,2015-09-04,118,1,9814,chocolate marshmallow,4.13,Bakery & Sweets,4.13,2015-09
3058,2015-05-18,10,2,7668,chicken,7.2,Fresh Food,14.4,2015-05
4391,2015-03-26,96,2,12692,hygiene articles,7.5,Household & Hygiene,15.0,2015-03
1306,2015-06-23,23,3,1114,pork,7.2,Fresh Food,21.6,2015-06
1024,2015-08-10,22,1,95,root vegetables,1.8,Fresh Food,1.8,2015-08
1295,2015-07-23,10,3,1077,chicken,7.2,Fresh Food,21.6,2015-07
1661,2015-06-01,22,2,2442,root vegetables,1.8,Fresh Food,3.6,2015-06
4591,2015-05-15,3,2,13425,pip fruit,3.0,Fresh Food,6.0,2015-05
3169,2015-06-14,3,3,8085,pip fruit,3.0,Fresh Food,9.0,2015-06
3915,2015-05-21,50,3,10874,bottled beer,1.8,Beverages,5.4,2015-05
1127,2015-01-14,5,3,463,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-01
4828,2015-08-08,2,1,14366,whole milk,1.8,Dairy,1.8,2015-08
3683,2015-06-10,65,2,9997,candy,3.6,Bakery & Sweets,7.2,2015-06
1971,2015-09-18,45,3,3629,curd,9.8,Dairy,29.400000000000002,2015-09
3014,2015-11-11,19,2,7503,sausage,3.1,Fresh Food,6.2,2015-11
3779,2015-09-15,9,1,10367,frankfurter,5.5,Fresh Food,5.5,2015-09
2489,2015-05-04,37,1,5539,herbs,6.5,Fresh Food,6.5,2015-05
3564,2015-06-27,40,1,9546,grapes,9.4,Fresh Food,9.4,2015-06
4092,2015-09-30,19,1,11486,sausage,3.1,Fresh Food,3.1,2015-09
3221,2015-01-13,50,2,8279,bottled beer,1.8,Beverages,3.6,2015-01
1279,2015-09-06,18,1,1011,yogurt,2.2,Dairy,2.2,2015-09
2581,2015-08-22,25,1,5891,canned beer,1.1,Beverages,1.1,2015-08
2295,2015-02-25,93,3,4833,nuts/prunes,6.2,Fresh Food,18.6,2015-02
4760,2015-02-22,40,1,14100,grapes,9.4,Fresh Food,9.4,2015-02
3649,2015-01-16,40,3,9861,grapes,9.4,Fresh Food,28.200000000000003,2015-01
1075,2015-11-19,7,1,272,citrus fruit,1.5,Fresh Food,1.5,2015-11
3987,2015-08-19,2,1,11143,whole milk,1.8,Dairy,1.8,2015-08
4106,2015-08-25,5,3,11544,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-08
4338,2015-06-24,5,1,12498,rolls/buns,1.2,Bakery & Sweets,1.2,2015-06
4166,2015-11-06,25,2,11793,canned beer,1.1,Beverages,2.2,2015-11
1211,2015-03-10,11,2,767,butter,3.2,Dairy,6.4,2015-03
3954,2015-01-21,8,1,11010,beef,19.5,Fresh Food,19.5,2015-01
3928,2015-07-18,38,2,10926,soda,0.8,Beverages,1.6,2015-07
3827,2015-09-30,19,3,10539,sausage,3.1,Fresh Food,9.3,2015-09
4699,2015-02-08,19,1,13871,sausage,3.1,Fresh Food,3.1,2015-02
4747,2015-06-08,60,1,14055,cream cheese,6.3,Dairy,6.3,2015-06
3028,2015-06-09,119,3,7553,long life bakery product,9.9,Bakery & Sweets,29.700000000000003,2015-06
2851,2015-03-16,4,3,6913,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-03
4417,2015-02-25,25,3,12784,canned beer,1.1,Beverages,3.3000000000000003,2015-02
3822,2015-03-07,17,1,10528,bottled water,0.5,Beverages,0.5,2015-03
2288,2015-05-31,19,3,4797,sausage,3.1,Fresh Food,9.3,2015-05
2184,2015-06-30,23,3,4413,pork,7.2,Fresh Food,21.6,2015-06
1345,2015-07-21,40,2,1257,grapes,9.4,Fresh Food,18.8,2015-07
4441,2015-11-09,50,2,12872,bottled beer,1.8,Beverages,3.6,2015-11
2540,2015-02-16,125,1,5730,instant coffee,4.9,Frozen & Processed Food,4.9,2015-02
1997,2015-06-06,26,2,3706,berries,10.8,Fresh Food,21.6,2015-06
2294,2015-07-26,7,2,4829,citrus fruit,1.5,Fresh Food,3.0,2015-07
1523,2015-03-28,8,3,1926,beef,19.5,Fresh Food,58.5,2015-03
3165,2015-08-18,18,3,8069,yogurt,2.2,Dairy,6.6000000000000005,2015-08
4831,2015-04-12,36,2,14378,frozen meals,9.7,Frozen & Processed Food,19.4,2015-04
4073,2015-11-02,1,2,11409,tropical fruit,7.8,Fresh Food,15.6,2015-11
3661,2015-07-25,7,2,9904,citrus fruit,1.5,Fresh Food,3.0,2015-07
2019,2015-10-09,80,1,3801,salty snack,0.5,Snacks,0.5,2015-10
1092,2015-05-16,38,1,325,soda,0.8,Beverages,0.8,2015-05
4078,2015-11-14,8,1,11434,beef,19.5,Fresh Food,19.5,2015-11
4753,2015-06-21,7,2,14080,citrus fruit,1.5,Fresh Food,3.0,2015-06
1279,2015-09-10,19,2,1012,sausage,3.1,Fresh Food,6.2,2015-09
1012,2015-11-19,22,1,50,root vegetables,1.8,Fresh Food,1.8,2015-11
2362,2015-11-23,9,1,5081,frankfurter,5.5,Fresh Food,5.5,2015-11
2789,2015-02-06,45,2,6685,curd,9.8,Dairy,19.6,2015-02
3229,2015-08-07,45,3,8310,curd,9.8,Dairy,29.400000000000002,2015-08
1715,2015-05-03,2,1,2607,whole milk,1.8,Dairy,1.8,2015-05
4351,2015-01-16,2,2,12539,whole milk,1.8,Dairy,3.6,2015-01
4397,2015-06-27,66,2,12712,onions,1.3,Fresh Food,2.6,2015-06
3653,2015-10-21,2,3,9875,whole milk,1.8,Dairy,5.4,2015-10
2730,2015-11-10,22,2,6453,root vegetables,1.8,Fresh Food,3.6,2015-11
4321,2015-10-27,3,2,12426,pip fruit,3.0,Fresh Food,6.0,2015-10
1086,2015-11-17,8,1,306,beef,19.5,Fresh Food,19.5,2015-11
1708,2015-12-28,7,1,2586,citrus fruit,1.5,Fresh Food,1.5,2015-12
4293,2015-08-24,19,3,12297,sausage,3.1,Fresh Food,9.3,2015-08
4524,2015-04-22,58,3,13171,ice cream,1.8,Frozen & Processed Food,5.4,2015-04
3783,2015-03-08,58,2,10385,ice cream,1.8,Frozen & Processed Food,3.6,2015-03
1460,2015-06-24,1,1,1673,tropical fruit,7.8,Fresh Food,7.8,2015-06
2960,2015-12-19,1,3,7312,tropical fruit,7.8,Fresh Food,23.4,2015-12
3442,2015-10-12,43,3,9055,sparkling wine,12.5,Beverages,37.5,2015-10
4059,2015-05-07,19,3,11364,sausage,3.1,Fresh Food,9.3,2015-05
1822,2015-03-03,1,2,3044,tropical fruit,7.8,Fresh Food,15.6,2015-03
1584,2015-07-10,119,1,2133,long life bakery product,9.9,Bakery & Sweets,9.9,2015-07
1624,2015-02-04,2,3,2294,whole milk,1.8,Dairy,5.4,2015-02
4877,2015-11-06,29,1,14557,ham,15.2,Fresh Food,15.2,2015-11
1567,2015-04-11,9,3,2069,frankfurter,5.5,Fresh Food,16.5,2015-04
2018,2015-01-04,5,3,3793,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-01
1182,2015-09-01,21,1,671,hamburger meat,12.3,Fresh Food,12.3,2015-09
3401,2015-08-02,54,1,8912,condensed milk,3.5,Dairy,3.5,2015-08
4547,2015-01-18,2,1,13266,whole milk,1.8,Dairy,1.8,2015-01
3547,2015-10-21,50,2,9472,bottled beer,1.8,Beverages,3.6,2015-10
4831,2015-04-06,19,3,14377,sausage,3.1,Fresh Food,9.3,2015-04
2851,2015-01-01,83,2,6911,white bread,0.3,Bakery & Sweets,0.6,2015-01
3072,2015-02-28,4,1,7718,other vegetables,0.8,Fresh Food,0.8,2015-02
1398,2015-04-15,19,3,1449,sausage,3.1,Fresh Food,9.3,2015-04
1779,2015-10-28,8,2,2867,beef,19.5,Fresh Food,39.0,2015-10
1823,2015-11-27,26,3,3047,berries,10.8,Fresh Food,32.400000000000006,2015-11
3360,2015-11-14,8,2,8781,beef,19.5,Fresh Food,39.0,2015-11
1565,2015-10-15,2,1,2053,whole milk,1.8,Dairy,1.8,2015-10
4321,2015-05-08,9,2,12424,frankfurter,5.5,Fresh Food,11.0,2015-05
1293,2015-03-05,1,3,1068,tropical fruit,7.8,Fresh Food,23.4,2015-03
3331,2015-07-25,2,3,8685,whole milk,1.8,Dairy,5.4,2015-07
2408,2015-05-19,7,3,5249,citrus fruit,1.5,Fresh Food,4.5,2015-05
2742,2015-10-10,51,3,6491,dessert,1.15,Bakery & Sweets,3.4499999999999997,2015-10
3934,2015-05-01,2,1,10945,whole milk,1.8,Dairy,1.8,2015-05
4742,2015-06-22,24,2,14027,pastry,3.1,Bakery & Sweets,6.2,2015-06
4405,2015-07-22,31,1,12736,curd cheese,9.2,Dairy,9.2,2015-07
3229,2015-03-25,4,1,8309,other vegetables,0.8,Fresh Food,0.8,2015-03
2817,2015-12-22,137,1,6805,male cosmetics,10.6,Personal Care,10.6,2015-12
2741,2015-02-17,4,3,6486,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-02
3562,2015-12-30,48,3,9540,finished products,6.5,Frozen & Processed Food,19.5,2015-12
4442,2015-06-10,4,3,12876,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-06
2022,2015-02-05,12,2,3809,fruit/vegetable juice,2.1,Beverages,4.2,2015-02
4380,2015-11-03,26,3,12651,berries,10.8,Fresh Food,32.400000000000006,2015-11
3687,2015-12-22,4,2,10017,other vegetables,0.8,Fresh Food,1.6,2015-12
2077,2015-05-07,131,3,4036,roll products,8.6,Specialty & Seasonal,25.799999999999997,2015-05
3273,2015-03-15,19,3,8467,sausage,3.1,Fresh Food,9.3,2015-03
3736,2015-11-27,8,1,10187,beef,19.5,Fresh Food,19.5,2015-11
3190,2015-03-28,1,1,8169,tropical fruit,7.8,Fresh Food,7.8,2015-03
3295,2015-07-28,19,1,8544,sausage,3.1,Fresh Food,3.1,2015-07
3276,2015-06-30,53,2,8475,specialty chocolate,18.8,Bakery & Sweets,37.6,2015-06
4405,2015-01-06,17,2,12735,bottled water,0.5,Beverages,1.0,2015-01
4266,2015-07-31,19,3,12186,sausage,3.1,Fresh Food,9.3,2015-07
1372,2015-06-25,2,2,1353,whole milk,1.8,Dairy,3.6,2015-06
1242,2015-12-13,49,3,888,beverages,1.1,Beverages,3.3000000000000003,2015-12
4820,2015-05-01,24,2,14327,pastry,3.1,Bakery & Sweets,6.2,2015-05
4702,2015-11-08,40,2,13882,grapes,9.4,Fresh Food,18.8,2015-11
3687,2015-07-16,7,2,10016,citrus fruit,1.5,Fresh Food,3.0,2015-07
4115,2015-03-20,7,1,11583,citrus fruit,1.5,Fresh Food,1.5,2015-03
2236,2015-02-03,57,2,4608,meat,8.5,Fresh Food,17.0,2015-02
1026,2015-03-15,80,1,102,salty snack,0.5,Snacks,0.5,2015-03
2678,2015-03-20,48,1,6247,finished products,6.5,Frozen & Processed Food,6.5,2015-03
1934,2015-08-04,50,2,3490,bottled beer,1.8,Beverages,3.6,2015-08
3525,2015-02-14,7,3,9391,citrus fruit,1.5,Fresh Food,4.5,2015-02
1354,2015-11-29,58,3,1285,ice cream,1.8,Frozen & Processed Food,5.4,2015-11
2782,2015-04-09,1,3,6653,tropical fruit,7.8,Fresh Food,23.4,2015-04
4456,2015-05-16,70,2,12927,margarine,3.5,Pantry Staples,7.0,2015-05
4869,2015-04-03,38,3,14525,soda,0.8,Beverages,2.4000000000000004,2015-04
2454,2015-08-26,19,1,5430,sausage,3.1,Fresh Food,3.1,2015-08
4222,2015-08-20,49,3,12015,beverages,1.1,Beverages,3.3000000000000003,2015-08
1358,2015-09-11,74,2,1301,whipped/sour cream,5.5,Dairy,11.0,2015-09
3393,2015-02-15,1,3,8884,tropical fruit,7.8,Fresh Food,23.4,2015-02
1615,2015-12-03,37,1,2252,herbs,6.5,Fresh Food,6.5,2015-12
4734,2015-07-12,2,2,13997,whole milk,1.8,Dairy,3.6,2015-07
4946,2015-11-04,18,3,14787,yogurt,2.2,Dairy,6.6000000000000005,2015-11
2419,2015-08-22,21,2,5277,hamburger meat,12.3,Fresh Food,24.6,2015-08
4989,2015-06-03,3,2,14927,pip fruit,3.0,Fresh Food,6.0,2015-06
2961,2015-05-27,33,2,7316,frozen potato products,3.0,Frozen & Processed Food,6.0,2015-05
2707,2015-03-07,2,3,6365,whole milk,1.8,Dairy,5.4,2015-03
2010,2015-11-06,2,2,3757,whole milk,1.8,Dairy,3.6,2015-11
1502,2015-04-16,19,3,1846,sausage,3.1,Fresh Food,9.3,2015-04
2600,2015-04-29,84,1,5966,female sanitary products,2.5,Personal Care,2.5,2015-04
3603,2015-01-30,8,3,9710,beef,19.5,Fresh Food,58.5,2015-01
4352,2015-04-14,19,1,12542,sausage,3.1,Fresh Food,3.1,2015-04
1477,2015-05-16,19,3,1741,sausage,3.1,Fresh Food,9.3,2015-05
4938,2015-11-24,1,2,14752,tropical fruit,7.8,Fresh Food,15.6,2015-11
2745,2015-01-27,9,3,6503,frankfurter,5.5,Fresh Food,16.5,2015-01
2738,2015-11-09,8,2,6480,beef,19.5,Fresh Food,39.0,2015-11
4170,2015-01-19,45,1,11806,curd,9.8,Dairy,9.8,2015-01
3776,2015-05-17,17,3,10356,bottled water,0.5,Beverages,1.5,2015-05
1062,2015-09-18,18,2,231,yogurt,2.2,Dairy,4.4,2015-09
1546,2015-01-03,22,1,1996,root vegetables,1.8,Fresh Food,1.8,2015-01
2020,2015-11-19,76,1,3805,sliced cheese,4.2,Dairy,4.2,2015-11
2366,2015-01-18,3,3,5097,pip fruit,3.0,Fresh Food,9.0,2015-01
1107,2015-01-03,10,1,383,chicken,7.2,Fresh Food,7.2,2015-01
1407,2015-07-29,29,2,1476,ham,15.2,Fresh Food,30.4,2015-07
3718,2015-02-26,53,1,10119,specialty chocolate,18.8,Bakery & Sweets,18.8,2015-02
4808,2015-07-26,42,1,14282,fish,10.2,Fresh Food,10.2,2015-07
2940,2015-05-21,39,2,7224,detergent,5.5,Household & Hygiene,11.0,2015-05
3048,2015-12-10,5,1,7634,rolls/buns,1.2,Bakery & Sweets,1.2,2015-12
3165,2015-06-15,19,1,8068,sausage,3.1,Fresh Food,3.1,2015-06
4306,2015-12-28,27,1,12364,coffee,8.5,Beverages,8.5,2015-12
4302,2015-11-05,9,1,12342,frankfurter,5.5,Fresh Food,5.5,2015-11
4516,2015-03-29,19,2,13150,sausage,3.1,Fresh Food,6.2,2015-03
3582,2015-03-31,2,1,9611,whole milk,1.8,Dairy,1.8,2015-03
1534,2015-07-10,51,2,1961,dessert,1.15,Bakery & Sweets,2.3,2015-07
1844,2015-07-24,3,1,3126,pip fruit,3.0,Fresh Food,3.0,2015-07
1218,2015-07-05,19,1,793,sausage,3.1,Fresh Food,3.1,2015-07
4482,2015-11-30,2,1,13012,whole milk,1.8,Dairy,1.8,2015-11
2574,2015-12-11,80,1,5864,salty snack,0.5,Snacks,0.5,2015-12
2767,2015-01-27,19,2,6600,sausage,3.1,Fresh Food,6.2,2015-01
2794,2015-09-29,50,2,6701,bottled beer,1.8,Beverages,3.6,2015-09
4228,2015-03-26,121,2,12041,sweet spreads,5.4,Bakery & Sweets,10.8,2015-03
3062,2015-06-08,3,3,7683,pip fruit,3.0,Fresh Food,9.0,2015-06
2365,2015-06-21,23,1,5094,pork,7.2,Fresh Food,7.2,2015-06
3775,2015-07-07,49,1,10350,beverages,1.1,Beverages,1.1,2015-07
2232,2015-05-06,2,2,4588,whole milk,1.8,Dairy,3.6,2015-05
4156,2015-08-03,1,3,11752,tropical fruit,7.8,Fresh Food,23.4,2015-08
3643,2015-09-20,9,1,9841,frankfurter,5.5,Fresh Food,5.5,2015-09
3470,2015-10-04,121,2,9160,sweet spreads,5.4,Bakery & Sweets,10.8,2015-10
2602,2015-12-11,122,1,5980,soups,4.5,Frozen & Processed Food,4.5,2015-12
4796,2015-06-10,38,1,14234,soda,0.8,Beverages,0.8,2015-06
3289,2015-08-09,22,2,8525,root vegetables,1.8,Fresh Food,3.6,2015-08
4470,2015-03-31,2,2,12979,whole milk,1.8,Dairy,3.6,2015-03
2502,2015-02-07,7,1,5577,citrus fruit,1.5,Fresh Food,1.5,2015-02
2205,2015-03-07,2,1,4490,whole milk,1.8,Dairy,1.8,2015-03
3201,2015-01-21,38,2,8199,soda,0.8,Beverages,1.6,2015-01
2882,2015-06-25,19,1,7030,sausage,3.1,Fresh Food,3.1,2015-06
2757,2015-12-16,74,1,6552,whipped/sour cream,5.5,Dairy,5.5,2015-12
3679,2015-08-30,9,2,9976,frankfurter,5.5,Fresh Food,11.0,2015-08
2380,2015-02-12,4,1,5139,other vegetables,0.8,Fresh Food,0.8,2015-02
1825,2015-10-06,50,1,3054,bottled beer,1.8,Beverages,1.8,2015-10
2868,2015-07-18,3,3,6977,pip fruit,3.0,Fresh Food,9.0,2015-07
2709,2015-08-20,7,2,6375,citrus fruit,1.5,Fresh Food,3.0,2015-08
4585,2015-07-16,74,3,13407,whipped/sour cream,5.5,Dairy,16.5,2015-07
2634,2015-04-22,74,3,6097,whipped/sour cream,5.5,Dairy,16.5,2015-04
4832,2015-12-03,4,3,14384,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-12
2032,2015-07-28,1,1,3844,tropical fruit,7.8,Fresh Food,7.8,2015-07
2061,2015-12-27,1,1,3964,tropical fruit,7.8,Fresh Food,7.8,2015-12
2210,2015-01-13,15,3,4505,specialty bar,5.2,Bakery & Sweets,15.600000000000001,2015-01
2346,2015-08-05,57,3,5014,meat,8.5,Fresh Food,25.5,2015-08
4315,2015-04-26,38,3,12396,soda,0.8,Beverages,2.4000000000000004,2015-04
4166,2015-07-26,18,1,11792,yogurt,2.2,Dairy,2.2,2015-07
3907,2015-10-25,9,3,10838,frankfurter,5.5,Fresh Food,16.5,2015-10
2706,2015-03-22,29,3,6360,ham,15.2,Fresh Food,45.599999999999994,2015-03
2855,2015-08-05,153,2,6927,organic products,9.4,Personal Care,18.8,2015-08
2074,2015-04-10,25,2,4025,canned beer,1.1,Beverages,2.2,2015-04
2840,2015-05-27,36,1,6874,frozen meals,9.7,Frozen & Processed Food,9.7,2015-05
2247,2015-05-31,4,2,4651,other vegetables,0.8,Fresh Food,1.6,2015-05
4063,2015-07-14,19,2,11372,sausage,3.1,Fresh Food,6.2,2015-07
4780,2015-07-03,19,2,14172,sausage,3.1,Fresh Food,6.2,2015-07
1081,2015-03-06,9,1,291,frankfurter,5.5,Fresh Food,5.5,2015-03
4843,2015-03-02,137,2,14425,male cosmetics,10.6,Personal Care,21.2,2015-03
3246,2015-08-27,36,1,8361,frozen meals,9.7,Frozen & Processed Food,9.7,2015-08
4009,2015-07-14,2,3,11203,whole milk,1.8,Dairy,5.4,2015-07
3697,2015-10-03,64,2,10054,UHT-milk,2.1,Dairy,4.2,2015-10
4579,2015-10-29,28,1,13388,misc. beverages,1.2,Beverages,1.2,2015-10
3803,2015-10-06,12,2,10454,fruit/vegetable juice,2.1,Beverages,4.2,2015-10
4108,2015-07-21,22,3,11552,root vegetables,1.8,Fresh Food,5.4,2015-07
1664,2015-04-01,9,1,2452,frankfurter,5.5,Fresh Food,5.5,2015-04
4179,2015-03-06,40,1,11835,grapes,9.4,Fresh Food,9.4,2015-03
4172,2015-02-18,40,1,11814,grapes,9.4,Fresh Food,9.4,2015-02
2851,2015-02-17,50,3,6912,bottled beer,1.8,Beverages,5.4,2015-02
3385,2015-06-22,5,3,8861,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-06
1303,2015-09-08,5,3,1106,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-09
4487,2015-01-22,45,1,13032,curd,9.8,Dairy,9.8,2015-01
2392,2015-03-23,19,3,5182,sausage,3.1,Fresh Food,9.3,2015-03
4218,2015-10-03,9,2,11999,frankfurter,5.5,Fresh Food,11.0,2015-10
2891,2015-07-02,107,3,7055,liver loaf,8.5,Fresh Food,25.5,2015-07
4474,2015-12-10,25,1,12994,canned beer,1.1,Beverages,1.1,2015-12
4437,2015-07-28,128,2,12853,soft cheese,7.2,Dairy,14.4,2015-07
2648,2015-11-08,23,3,6141,pork,7.2,Fresh Food,21.6,2015-11
1081,2015-05-03,1,2,293,tropical fruit,7.8,Fresh Food,15.6,2015-05
3071,2015-01-21,3,2,7712,pip fruit,3.0,Fresh Food,6.0,2015-01
3409,2015-05-20,7,1,8943,citrus fruit,1.5,Fresh Food,1.5,2015-05
2768,2015-01-01,57,2,6602,meat,8.5,Fresh Food,17.0,2015-01
3424,2015-08-16,71,2,8994,shopping bags,5.12,Household & Hygiene,10.24,2015-08
4610,2015-04-19,21,1,13497,hamburger meat,12.3,Fresh Food,12.3,2015-04
3090,2015-11-04,22,1,7793,root vegetables,1.8,Fresh Food,1.8,2015-11
4585,2015-05-01,8,1,13406,beef,19.5,Fresh Food,19.5,2015-05
4388,2015-03-20,25,2,12677,canned beer,1.1,Beverages,2.2,2015-03
3751,2015-01-01,74,2,10248,whipped/sour cream,5.5,Dairy,11.0,2015-01
2650,2015-05-11,1,2,6147,tropical fruit,7.8,Fresh Food,15.6,2015-05
2448,2015-06-08,1,1,5401,tropical fruit,7.8,Fresh Food,7.8,2015-06
2652,2015-12-26,24,3,6154,pastry,3.1,Bakery & Sweets,9.3,2015-12
1385,2015-11-19,30,2,1407,turkey,12.5,Fresh Food,25.0,2015-11
2960,2015-08-31,1,3,7311,tropical fruit,7.8,Fresh Food,23.4,2015-08
2736,2015-03-02,35,1,6468,sugar,1.2,Bakery & Sweets,1.2,2015-03
1768,2015-04-21,48,2,2821,finished products,6.5,Frozen & Processed Food,13.0,2015-04
2002,2015-10-20,57,3,3733,meat,8.5,Fresh Food,25.5,2015-10
3046,2015-11-18,21,2,7626,hamburger meat,12.3,Fresh Food,24.6,2015-11
2284,2015-03-18,23,2,4784,pork,7.2,Fresh Food,14.4,2015-03
1708,2015-09-18,2,2,2585,whole milk,1.8,Dairy,3.6,2015-09
1952,2015-11-23,23,3,3563,pork,7.2,Fresh Food,21.6,2015-11
3497,2015-09-08,64,1,9273,UHT-milk,2.1,Dairy,2.1,2015-09
1479,2015-05-14,4,2,1749,other vegetables,0.8,Fresh Food,1.6,2015-05
1237,2015-04-09,2,1,868,whole milk,1.8,Dairy,1.8,2015-04
4353,2015-08-24,10,1,12551,chicken,7.2,Fresh Food,7.2,2015-08
3528,2015-08-18,2,3,9402,whole milk,1.8,Dairy,5.4,2015-08
2092,2015-09-04,3,3,4090,pip fruit,3.0,Fresh Food,9.0,2015-09
2514,2015-11-02,5,1,5629,rolls/buns,1.2,Bakery & Sweets,1.2,2015-11
4790,2015-05-16,22,2,14216,root vegetables,1.8,Fresh Food,3.6,2015-05
1948,2015-08-25,9,3,3547,frankfurter,5.5,Fresh Food,16.5,2015-08
3581,2015-01-16,2,2,9602,whole milk,1.8,Dairy,3.6,2015-01
4778,2015-03-26,9,2,14157,frankfurter,5.5,Fresh Food,11.0,2015-03
2601,2015-03-26,22,2,5970,root vegetables,1.8,Fresh Food,3.6,2015-03
